"PlantID","long","lat"
"Fe.3.10",-80.38032,43.70647
"Fe.4.1",-80.38175,43.70779
"Fe.4.2",-80.38175,43.70779
"Fe.4.3",-80.38175,43.70779
"Fe.4.4",-80.38175,43.70779
"Fe.4.5",-80.38175,43.70779
"Fe.4.6",-80.38175,43.70779
"Fe.4.7",-80.38175,43.70779
"Fe.4.8",-80.38175,43.70779
"Fe.4.9",-80.38175,43.70779
"Fe.4.10",-80.38175,43.70779
"Fe.5.1",-80.38659,43.71135
"Fe.5.2",-80.38659,43.71135
"Fe.5.3",-80.38659,43.71135
"Fe.5.4",-80.38659,43.71135
"Fe.5.5",-80.38659,43.71135
"Fe.5.6",-80.38659,43.71135
"Fe.5.7",-80.38659,43.71135
"Fe.5.8",-80.38659,43.71135
"Fe.5.9",-80.38659,43.71135
"Fe.5.10",-80.38659,43.71135
"Fe.6.1",-80.39207,43.71422
"Fe.6.2",-80.39207,43.71422
"Fe.6.3",-80.39207,43.71422
"Fe.6.4",-80.39207,43.71422
"Fe.6.5",-80.39207,43.71422
"Fe.6.6",-80.39207,43.71422
"Fe.6.7",-80.39207,43.71422
"Fe.6.8",-80.39207,43.71422
"Fe.6.9",-80.39207,43.71422
"Fe.6.10",-80.39207,43.71422
"Fe.7.1",-80.39295,43.71573
"Fe.7.2",-80.39295,43.71573
"Fe.7.3",-80.39295,43.71573
"Fe.7.4",-80.39295,43.71573
"Fe.7.5",-80.39295,43.71573
"Fe.7.6",-80.39295,43.71573
"Fe.7.7",-80.39295,43.71573
"Fe.7.8",-80.39295,43.71573
"Fe.7.9",-80.39295,43.71573
"Fe.7.10",-80.39295,43.71573
"Fe.8.1",-80.39835,43.71505
"Fe.8.2",-80.39835,43.71505
"Fe.8.3",-80.39835,43.71505
"Fe.8.4",-80.39835,43.71505
"Fe.8.5",-80.39835,43.71505
"Fe.8.6",-80.39835,43.71505
"Fe.8.7",-80.39835,43.71505
"Fe.8.8",-80.39835,43.71505
"Fe.8.9",-80.39835,43.71505
"Fe.8.10",-80.39835,43.71505
"Fe.9.1",-80.39868,43.71955
"Fe.9.2",-80.39868,43.71955
"Fe.9.3",-80.39868,43.71955
"Fe.9.4",-80.39868,43.71955
"Fe.9.5",-80.39868,43.71955
"Fe.9.6",-80.39868,43.71955
"Fe.9.7",-80.39868,43.71955
"Fe.9.8",-80.39868,43.71955
"Fe.9.9",-80.39868,43.71955
"Fe.9.10",-80.39868,43.71955
"Fe.10.1",-80.41118,43.72871
"Fe.10.2",-80.41118,43.72871
"Fe.10.3",-80.41118,43.72871
"Fe.10.4",-80.41118,43.72871
