"PlantID","buildings","impervious"
"Fe.4.7",20,0.438503651
"Fe.4.8",20,0.438503651
"Fe.4.9",20,0.438503651
"Fe.4.10",20,0.438503651
"Fe.5.1",16,0.523365057
"Fe.5.2",16,0.523365057
"Fe.5.3",16,0.523365057
"Fe.5.4",16,0.523365057
"Fe.5.5",16,0.523365057
"Fe.5.6",16,0.523365057
"Fe.5.7",16,0.523365057
"Fe.5.8",16,0.523365057
"Fe.5.9",16,0.523365057
"Fe.5.10",16,0.523365057
"Fe.6.1",5,0.308123936
"Fe.6.2",5,0.308123936
"Fe.6.3",5,0.308123936
"Fe.6.4",5,0.308123936
"Fe.6.5",5,0.308123936
"Fe.6.6",5,0.308123936
"Fe.6.7",5,0.308123936
"Fe.6.8",5,0.308123936
"Fe.6.9",5,0.308123936
"Fe.6.10",5,0.308123936
"Fe.7.1",2,0.392253229
"Fe.7.2",2,0.392253229
"Fe.7.3",2,0.392253229
"Fe.7.4",2,0.392253229
"Fe.7.5",2,0.392253229
"Fe.7.6",2,0.392253229
"Fe.7.7",2,0.392253229
"Fe.7.8",2,0.392253229
"Fe.7.9",2,0.392253229
"Fe.7.10",2,0.392253229
"Fe.8.1",11,0.210052671
"Fe.8.2",11,0.210052671
"Fe.8.3",11,0.210052671
"Fe.8.4",11,0.210052671
"Fe.8.5",11,0.210052671
"Fe.8.6",11,0.210052671
"Fe.8.7",11,0.210052671
"Fe.8.8",11,0.210052671
"Fe.8.9",11,0.210052671
"Fe.8.10",11,0.210052671
"Fe.9.1",1,0.139801687
"Fe.9.2",1,0.139801687
"Fe.9.3",1,0.139801687
"Fe.9.4",1,0.139801687
"Fe.9.5",1,0.139801687
"Fe.9.6",1,0.139801687
"Fe.9.7",1,0.139801687
"Fe.9.8",1,0.139801687
"Fe.9.9",1,0.139801687
"Fe.9.10",1,0.139801687
"Fe.10.1",1,0.13926056
"Fe.10.2",1,0.13926056
"Fe.10.3",1,0.13926056
"Fe.10.4",1,0.13926056
"Fe.10.5",1,0.13926056
"Fe.10.6",1,0.13926056
"Fe.10.7",1,0.13926056
"Fe.10.8",1,0.13926056
"Fe.10.9",1,0.13926056
"Fe.10.10",1,0.13926056
"Fe.11.1",0,0.141393236
"Fe.11.2",0,0.141393236
"Fe.11.3",0,0.141393236
"Fe.11.4",0,0.141393236
"Fe.11.5",0,0.141393236
"Fe.11.6",0,0.141393236
"Fe.11.7",0,0.141393236
"Fe.11.8",0,0.141393236
"Fe.11.9",0,0.141393236
"Fe.11.10",0,0.141393236
"Fe.12.1",2,0.225267882
"Fe.12.2",2,0.225267882
"Fe.12.3",2,0.225267882
"Fe.12.4",2,0.225267882
"Fe.12.5",2,0.225267882
"Fe.12.6",2,0.225267882
"Fe.12.7",2,0.225267882
"Fe.12.8",2,0.225267882
"Fe.12.9",2,0.225267882
"Fe.12.10",2,0.225267882
"Fe.13.1",1,0.110549011
"Fe.13.2",1,0.110549011
"Fe.13.3",1,0.110549011
"Fe.13.4",1,0.110549011
"Fe.13.5",1,0.110549011
"Fe.13.6",1,0.110549011
"Fe.13.7",1,0.110549011
"Fe.13.8",1,0.110549011
"Fe.13.9",1,0.110549011
"Fe.13.10",1,0.110549011
"Fe.14.1",4,0.086166477
"Fe.14.2",4,0.086166477
"Fe.14.3",4,0.086166477
"Fe.14.4",4,0.086166477
"Fe.14.5",4,0.086166477
"Fe.14.6",4,0.086166477
"Fe.14.7",4,0.086166477
"Fe.14.8",4,0.086166477
"Fe.14.9",4,0.086166477
"Fe.14.10",4,0.086166477
"Fe.15.1",7,0.162401686
"Fe.15.2",7,0.162401686
"Fe.15.3",7,0.162401686
"Fe.15.4",7,0.162401686
"Fe.15.5",7,0.162401686
"Fe.15.6",7,0.162401686
"Fe.15.7",7,0.162401686
"Fe.15.8",7,0.162401686
"Fe.15.9",7,0.162401686
"Fe.15.10",7,0.162401686
