city,Site,cy,plant_dens,dist,std_dist,pop,area,pop_dens,dwellings,dwell_dens
New Tecumseth,NT11,0.117647059,2.4,2.56,0.505050505,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT12,0.285714286,2,2.89,0.571717172,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT13,0.272727273,1.8,3.32,0.658585859,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT14,0.217391304,14.2,3.54,0.703030303,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT15,0.24,0,3.81,0.757575758,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT16,0.2,14,4.05,0.806060606,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT17,0.227272727,8,4.37,0.870707071,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT18,0.16,19.4,4.79,0.955555556,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT20,0.363636364,16.2,4.88,0.973737374,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT19,0.25,10.4,5.01,1,30234,274.18,110.3,11312,41.25756802
Orangeville,Or1,0.1,10.4,0.35,0,27975,15.61,1791.6,10069,645.0352338
