city,Site,cy,plant_dens,dist,std_dist,pop,area,pop_dens,dwellings,dwell_dens
Barrie,Ba7,0.35,20.2,1.69,0.174528302,187013,897.83,208.3,68495,76.28949801
Barrie,Ba8,0.2,7.4,2.08,0.220518868,187013,897.83,208.3,68495,76.28949801
Barrie,Ba9,0.45,10.6,2.31,0.247641509,187013,897.83,208.3,68495,76.28949801
Barrie,Ba10,0.5,7,2.72,0.295990566,187013,897.83,208.3,68495,76.28949801
Barrie,Ba11,0.3,12,3.07,0.337264151,187013,897.83,208.3,68495,76.28949801
Barrie,Ba12,0.45,22,3.4,0.376179245,187013,897.83,208.3,68495,76.28949801
Barrie,Ba13,0.307692308,0,3.8,0.423349057,187013,897.83,208.3,68495,76.28949801
Barrie,Ba14,0.2,0,4.06,0.454009434,187013,897.83,208.3,68495,76.28949801
Barrie,Ba15,0.4,17.2,4.48,0.503537736,187013,897.83,208.3,68495,76.28949801
Barrie,Ba16,0.3,20.4,4.91,0.554245283,187013,897.83,208.3,68495,76.28949801
Barrie,Ba17,0.111111111,4.2,5.37,0.608490566,187013,897.83,208.3,68495,76.28949801
Barrie,Ba18,0.45,15.2,5.67,0.643867925,187013,897.83,208.3,68495,76.28949801
Barrie,Ba19,0.35,7.8,6.24,0.711084906,187013,897.83,208.3,68495,76.28949801
Barrie,Ba20,0.25,23.4,6.72,0.767688679,187013,897.83,208.3,68495,76.28949801
Barrie,Ba21,0.2,2,7.28,0.833726415,187013,897.83,208.3,68495,76.28949801
Barrie,Ba22,0.722222222,7.6,7.84,0.899764151,187013,897.83,208.3,68495,76.28949801
Barrie,Ba23,0.2,14.8,7.88,0.904481132,187013,897.83,208.3,68495,76.28949801
Barrie,Ba24,0.3,4.2,8.18,0.939858491,187013,897.83,208.3,68495,76.28949801
Barrie,Ba25,0.3,17.8,8.69,1,187013,897.83,208.3,68495,76.28949801
Bradford,Brd1,0.35,6.2,2.64,0,28077,201.03,139.7,9460,47.05765309
Bradford,Brd2,0.35,4.6,2.79,0.026690391,28077,201.03,139.7,9460,47.05765309
Bradford,Brd3,0.1,7.8,3.03,0.069395018,28077,201.03,139.7,9460,47.05765309
Bradford,Brd4,0.25,16.2,3.15,0.090747331,28077,201.03,139.7,9460,47.05765309
Bradford,Brd5,0.3,5,3.31,0.119217082,28077,201.03,139.7,9460,47.05765309
Bradford,Brd6,0.2,5.8,3.49,0.151245552,28077,201.03,139.7,9460,47.05765309
Bradford,Brd7,0.35,25,3.64,0.177935943,28077,201.03,139.7,9460,47.05765309
Bradford,Brd8,0.4,4.4,3.89,0.222419929,28077,201.03,139.7,9460,47.05765309
Bradford,Brd9,0.1,20,4.12,0.263345196,28077,201.03,139.7,9460,47.05765309
Bradford,Brd10,0.2,8.4,4.35,0.304270463,28077,201.03,139.7,9460,47.05765309
Bradford,Brd11,0.35,6.4,4.53,0.336298932,28077,201.03,139.7,9460,47.05765309
Bradford,Brd12,0.3,7,4.9,0.402135231,28077,201.03,139.7,9460,47.05765309
Bradford,Brd13,0.25,14.4,5.37,0.485765125,28077,201.03,139.7,9460,47.05765309
Bradford,Brd14,0.3,16.8,6.12,0.619217082,28077,201.03,139.7,9460,47.05765309
Bradford,Brd15,0.15,2.8,6.46,0.679715302,28077,201.03,139.7,9460,47.05765309
Bradford,Brd20,0.25,5.8,6.61,0.706405694,28077,201.03,139.7,9460,47.05765309
Bradford,Brd16,0.2,7.8,7.53,0.870106762,28077,201.03,139.7,9460,47.05765309
Bradford,Brd17,0.05,7.4,7.84,0.925266904,28077,201.03,139.7,9460,47.05765309
Bradford,Brd18,0.55,5.2,8.06,0.964412811,28077,201.03,139.7,9460,47.05765309
Bradford,Brd19,0.263157895,0,8.26,1,28077,201.03,139.7,9460,47.05765309
Brantford,Brt1,0.45,1.6,0.35,0,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt2,0.090909091,17,0.35,0,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt3,0.409090909,7.8,0.72,0.045232274,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt4,0.173913043,13.2,0.87,0.063569682,135501,1073.11,126.3,52726,49.13382598
