city,site,lat,long,enviro,cy,dist ,std_dist,Ho, He,Na,Ar,Fis,buildings,impervious
Brantford,11,43.16581,-80.2748,0,0.429,3.04,0.33,0.611,0.685,5.438,5.264,0.167,5,0.793832938
Brantford,13,43.17056,-80.27527,0,0.143,3.56,0.39,0.606,0.66,5.188,4.862,0.133,30,0.495162804
Brantford,15,43.17698,-80.27277,0,0.667,4.22,0.47,0.574,0.676,5,4.73,0.202,26,0.41813182
Brantford,17,43.1819,-80.2772,0,0.353,4.83,0.55,0.641,0.668,5.063,4.812,0.095,18,0.629807871
Brantford,20,43.18848,-80.28169,1,0.556,5.62,0.64,0.615,0.696,5.375,5.157,0.169,4,0.509582241
Brantford,22,43.19415,-80.2822,1,0.391,6.24,0.72,0.606,0.693,5.125,4.826,0.177,3,0.184205911
Brantford,24,43.20193,-80.28038,1,0.2,7.06,0.82,0.57,0.683,4.813,4.61,0.217,5,0.425421116
Brantford,26,43.21009,-80.27905,1,0.526,7.93,0.93,0.563,0.636,4.563,4.345,0.169,2,0.17933577
Brantford,27,43.21536,-80.28004,1,0.333,8.53,1,0.566,0.659,5.125,4.853,0.193,1,0.236663374
Elmira,1,43.59097,-80.56083,0,0.4,1.06,0.27,0.703,0.659,4.813,3.601,-0.014,14,0.643026006
Elmira,2,43.59269,-80.56129,0,0.857,0.87,0.19,0.694,0.693,5.625,3.964,0.052,22,0.564550532
Elmira,3,43.59434,-80.56047,0,0.429,0.7,0.11,0.602,0.676,5.125,3.793,0.162,26,0.5550232
Elmira,5,43.5962,-80.55913,0,0.6,0.56,0.06,0.563,0.537,4,2.922,0.006,28,0.548948575
Elmira,6,43.59763,-80.55854,0,0.222,0.47,0.02,0.641,0.641,4.875,3.7,0.053,28,0.723067246
Elmira,8,43.60062,-80.55674,0,0.421,0.51,0.03,0.678,0.666,5.063,3.912,0.037,21,0.762834969
Elmira,9,43.60299,-80.559,0,0.222,0.43,0,0.559,0.675,5.125,3.822,0.233,19,0.41246877
Elmira,10,43.6035,-80.55647,0,0.529,0.63,0.09,0.527,0.649,5.125,3.569,0.251,6,0.693452653
Elmira,12,43.60618,-80.55302,1,0.579,1.03,0.26,0.581,0.64,4.688,3.701,0.147,9,0.257861855
Elmira,13,43.60748,-80.5524,1,0.25,1.16,0.31,0.532,0.677,4.75,3.764,0.276,5,0.191500618
Elmira,15,43.61234,-80.55358,1,0.412,1.53,0.47,0.623,0.674,4.938,4.065,0.137,1,0.192588282
Elmira,16,43.61368,-80.5542,1,0.368,1.63,0.51,0.594,0.701,5.313,3.425,0.204,3,0.12570056
Elmira,18,43.61778,-80.55263,1,0.412,2.1,0.71,0.595,0.641,4.438,3.6,0.127,3,0.146899996
Elmira,19,43.62165,-80.55194,1,0.381,2.52,0.89,0.548,0.657,4.75,3.717,0.218,1,0.19321408
Elmira,20,43.62405,-80.55167,1,0.286,2.78,1,0.607,0.666,5,3.965,0.144,0,0.127928729
Everett,1,44.19031,-79.94431,0,0.25,0.3,0.05,0.605,0.636,5,4.226,0.101,8,0.177824435
Everett,2,44.1905,-79.94205,0,0.3,0.12,0.02,0.563,0.664,4.938,4.244,0.204,15,0.241438022
Everett,3,44.19105,-79.94016,0,0.3,0.04,0,0.552,0.67,4.938,4.381,0.229,25,0.377292666
Everett,5,44.19172,-79.93641,0,0.15,0.35,0.06,0.598,0.657,4.875,4.267,0.143,16,0.303317457
Everett,7,44.19266,-79.93218,0,0.25,0.71,0.13,0.564,0.634,4.438,3.877,0.165,18,0.26075943
Everett,9,44.19369,-79.92873,0,0.5,1.01,0.19,0.579,0.628,4.438,3.962,0.13,9,0.209352389
Everett,10,44.19426,-79.92664,0,0,1.19,0.22,0.576,0.651,4.688,4.263,0.172,6,0.156544785
Everett,11,44.19442,-79.92514,0,0.25,1.31,0.25,0.64,0.709,5.313,4.695,0.152,4,0.189712671
Everett,12,44.19545,-79.92091,1,0.25,1.66,0.31,0.575,0.645,5,4.264,0.161,2,0.121276053
Everett,14,44.19837,-79.91,1,0.2,2.59,0.49,0.655,0.652,5.125,4.321,0.051,2,0.14056563
Everett,15,44.19737,-79.90837,1,0.25,2.68,0.51,0.639,0.65,4.813,4.166,0.07,2,0.104946758
Everett,16,44.19424,-79.88946,1,0.45,4.87,0.93,0.631,0.635,4.438,3.94,0.06,1,0.099249012
Everett,18,44.19125,-79.88855,1,0.25,5.21,1,0.638,0.684,5.063,4.389,0.121,0,0.089381406
Everett,19,44.19414,-79.9076,1,0.368,3.15,0.6,0.53,0.65,4.875,4.25,0.237,4,0.143398588
Everett,20,44.19152,-79.90684,1,0.5,3.44,0.66,0.701,0.666,4.938,4.248,0.005,1,0.077667604
Fergus,1,43.54899,-79.6626,0,0.2,0.08,0,0.61,0.689,5.25,5.053,0.17,23,0.715815193
Fergus,2,43.70629,-80.3788,0,0.4,0.09,0,0.602,0.704,5.688,5.391,0.199,21,0.763402516
Fergus,3,43.70647,-80.38032,0,0.429,0.21,0.02,0.693,0.718,6,5.678,0.089,20,0.60520252
Fergus,5,43.70779,-80.38175,0,0.5,0.38,0.04,0.663,0.722,5.75,5.363,0.136,20,0.438503651
Fergus,7,43.71135,-80.38659,0,0.45,0.93,0.11,0.525,0.691,5.75,5.411,0.29,16,0.523365057
Fergus,9,43.71422,-80.39207,0,0.5,1.47,0.17,0.603,0.729,6,5.617,0.225,5,0.308123936
Fergus,10,43.71573,-80.39295,0,0.28,1.63,0.19,0.66,0.74,6.75,6.215,0.16,2,0.392253229
Fergus,11,43.71505,-80.39835,1,0.208,1.94,0.23,0.547,0.658,5.5,5.204,0.223,11,0.210052671
Fergus,12,43.71955,-80.39868,1,0.571,2.26,0.27,0.592,0.678,5.625,5.245,0.179,1,0.139801687
Fergus,14,43.72871,-80.41118,1,0.421,3.69,0.45,0.58,0.654,5.25,4.908,0.165,1,0.13926056
Fergus,15,43.73421,-80.4188,1,0.545,4.56,0.55,0.594,0.627,5.375,4.964,0.106,0,0.141393236
Fergus,16,43.73675,-80.42235,1,0.542,4.96,0.6,0.56,0.674,5.625,5.267,0.221,2,0.225267882
Fergus,18,43.74732,-80.43719,1,0.654,6.64,0.81,0.596,0.728,5.875,5.476,0.232,1,0.110549011
Fergus,19,43.75212,-80.44893,1,0.5,7.69,0.94,0.575,0.688,5.5,5.097,0.215,4,0.086166477
